c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12
я помню;чудное;мгновенье;передомоной;явилась ты;как;мимолетное;виденье;как;гений;чистой;красоты
не помню;странное;затменье;под косячком;добилась ты;как;детородное;сиденье;как;сторож;вечной;мерзлоты
забыть бы;некое;хотение;на кладбище;торчат кресты;как;психотропное;паренье;как;символ;тухлой;суеты
купите;вкусное;варенье;в моих мечтах;стихов листы;как;кайфоломное;сужденье;как;спарта;просит;наркоты
очкуешь;пьяное;творенье;по скальпилем;забилась ты;как;очевеидное;вращенье;как;правда;грязной;срамоты
какое;свинское;везенье;в моих штанах;мои трусы;как;у воробушков;сношенье;как;ангел;липкой;школоты
угробил;чоткое;рожденье;из-за угла;поют дрозды;как;эдакое вот;смятенье;как;водка;нахрен;типа ты
хреново;сраное;смущенье;в моих ушах;из темноты;как;нам не чуждое;теченье;как;пиво;в пене;простоты
открою;нужное;печенье;в ночном горшке;помылась ты;как;благородное;паденье;как;ахтунг;женской;остроты
ты чуешь?;конское;ученье;из головы;дают п***ы;как;идиотское;сплетенье;как;жопа;жадет;наготы